Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)
Brasil
Variável - IPCA - Variação acumulada em 12 meses (%)
Mês	
dezembro 1979	...
janeiro 1980	...
fevereiro 1980	...
março 1980	...
abril 1980	...
maio 1980	...
junho 1980	...
julho 1980	...
agosto 1980	...
setembro 1980	...
outubro 1980	...
novembro 1980	...
dezembro 1980	99.25
janeiro 1981	99.67
fevereiro 1981	103.07
março 1981	101.03
abril 1981	103.27
maio 1981	103.00
junho 1981	103.41
julho 1981	104.78
agosto 1981	105.85
setembro 1981	107.88
outubro 1981	99.52
novembro 1981	96.89
dezembro 1981	95.62
janeiro 1982	95.86
fevereiro 1982	96.29
março 1982	97.68
abril 1982	96.61
maio 1982	98.65
junho 1982	101.64
julho 1982	101.84
agosto 1982	102.75
setembro 1982	102.41
outubro 1982	101.19
novembro 1982	101.22
dezembro 1982	104.79
janeiro 1983	108.00
fevereiro 1983	110.38
março 1983	113.63
abril 1983	115.03
maio 1983	114.67
junho 1983	120.24
julho 1983	127.94
agosto 1983	134.69
setembro 1983	146.35
outubro 1983	156.78
novembro 1983	161.90
dezembro 1983	164.01
janeiro 1984	166.51
fevereiro 1984	170.57
março 1984	174.59
abril 1984	182.22
maio 1984	189.03
junho 1984	189.55
julho 1984	188.62
agosto 1984	189.25
setembro 1984	193.05
outubro 1984	197.27
novembro 1984	205.97
dezembro 1984	215.26
janeiro 1985	221.27
fevereiro 1985	225.28
março 1985	228.93
abril 1985	224.88
maio 1985	219.36
junho 1985	214.76
julho 1985	216.44
agosto 1985	224.26
setembro 1985	222.43
outubro 1985	222.95
novembro 1985	233.02
dezembro 1985	242.23
janeiro 1986	250.23
fevereiro 1986	256.08
março 1986	238.65
abril 1986	215.44
maio 1986	198.38
junho 1986	178.52
julho 1986	156.80
agosto 1986	137.33
setembro 1986	117.25
outubro 1986	100.13
novembro 1986	85.17
dezembro 1986	79.66
janeiro 1987	77.84
fevereiro 1987	77.71
março 1987	97.39
abril 1987	133.27
maio 1987	179.40
junho 1987	230.27
julho 1987	254.63
agosto 1987	259.14
setembro 1987	280.55
outubro 1987	315.35
novembro 1987	353.27
dezembro 1987	363.41
janeiro 1988	386.67
fevereiro 1988	399.90
março 1988	405.18
abril 1988	405.99
maio 1988	389.19
junho 1988	398.54
julho 1988	456.52
agosto 1988	545.24
setembro 1988	662.99
outubro 1988	761.78
novembro 1988	858.09
dezembro 1988	980.21
janeiro 1989	1149.22
fevereiro 1989	1160.88
março 1989	1045.29
abril 1989	940.07
maio 1989	944.50
junho 1989	1001.44
julho 1989	1054.11
agosto 1989	1169.15
setembro 1989	1269.82
outubro 1989	1424.12
novembro 1989	1660.95
dezembro 1989	1972.91
janeiro 1990	2426.12
fevereiro 1990	3701.29
março 1990	6390.53
abril 1990	6821.31
maio 1990	6214.99
junho 1990	5385.43
julho 1990	4749.03
agosto 1990	3993.62
setembro 1990	3304.71
outubro 1990	2685.74
novembro 1990	2101.34
dezembro 1990	1620.97
janeiro 1991	1140.27
fevereiro 1991	752.02
março 1991	422.84
abril 1991	375.18
maio 1991	374.48
junho 1991	372.10
julho 1991	369.96
agosto 1991	381.41
setembro 1991	386.55
outubro 1991	411.52
novembro 1991	448.31
dezembro 1991	472.70
janeiro 1992	497.32
fevereiro 1992	515.13
março 1992	567.21
abril 1992	662.16
maio 1992	785.81
junho 1992	857.68
julho 1992	937.94
agosto 1992	996.37
setembro 1992	1081.70
outubro 1992	1130.94
novembro 1992	1104.20
dezembro 1992	1119.10
janeiro 1993	1161.79
fevereiro 1993	1168.49
março 1993	1229.71
abril 1993	1316.42
maio 1993	1348.52
junho 1993	1467.33
julho 1993	1581.70
agosto 1993	1730.67
setembro 1993	1893.13
outubro 1993	2031.27
novembro 1993	2258.68
dezembro 1993	2477.15
janeiro 1994	2693.84
fevereiro 1994	3035.71
março 1994	3417.39
abril 1994	3828.49
maio 1994	4331.19
junho 1994	4922.60
julho 1994	4005.08
agosto 1994	3044.89
setembro 1994	2253.15
outubro 1994	1703.17
novembro 1994	1267.54
dezembro 1994	916.46
janeiro 1995	631.54
fevereiro 1995	426.83
março 1995	274.78
abril 1995	169.05
maio 1995	91.79
junho 1995	33.03
julho 1995	27.45
agosto 1995	26.36
setembro 1995	25.69
outubro 1995	24.21
novembro 1995	22.59
dezembro 1995	22.41
janeiro 1996	21.97
fevereiro 1996	21.99
março 1996	20.55
abril 1996	19.17
maio 1996	17.49
junho 1996	16.26
julho 1996	14.84
agosto 1996	14.21
setembro 1996	13.26
outubro 1996	12.02
novembro 1996	10.75
dezembro 1996	9.56
janeiro 1997	9.39
fevereiro 1997	8.82
março 1997	8.99
abril 1997	8.58
maio 1997	7.71
junho 1997	7.02
julho 1997	6.08
agosto 1997	5.59
setembro 1997	5.50
outubro 1997	5.42
novembro 1997	5.27
dezembro 1997	5.22
janeiro 1998	4.73
fevereiro 1998	4.69
março 1998	4.52
abril 1998	3.85
maio 1998	3.95
junho 1998	3.41
julho 1998	3.06
agosto 1998	2.55
setembro 1998	2.27
outubro 1998	2.05
novembro 1998	1.76
dezembro 1998	1.65
janeiro 1999	1.65
fevereiro 1999	2.24
março 1999	3.02
abril 1999	3.35
maio 1999	3.14
junho 1999	3.32
julho 1999	4.57
agosto 1999	5.69
setembro 1999	6.25
outubro 1999	7.50
novembro 1999	8.65
dezembro 1999	8.94
janeiro 2000	8.85
fevereiro 2000	7.86
março 2000	6.92
abril 2000	6.77
maio 2000	6.47
junho 2000	6.51
julho 2000	7.06
agosto 2000	7.86
setembro 2000	7.77
outubro 2000	6.65
novembro 2000	5.99
dezembro 2000	5.97
janeiro 2001	5.92
fevereiro 2001	6.27
março 2001	6.44
abril 2001	6.61
maio 2001	7.04
junho 2001	7.35
julho 2001	7.05
agosto 2001	6.41
setembro 2001	6.46
outubro 2001	7.19
novembro 2001	7.61
dezembro 2001	7.67
janeiro 2002	7.62
fevereiro 2002	7.51
março 2002	7.75
abril 2002	7.98
maio 2002	7.77
junho 2002	7.66
julho 2002	7.51
agosto 2002	7.46
setembro 2002	7.93
outubro 2002	8.45
novembro 2002	10.93
dezembro 2002	12.53
janeiro 2003	14.47
fevereiro 2003	15.85
março 2003	16.57
abril 2003	16.77
maio 2003	17.24
junho 2003	16.57
julho 2003	15.43
agosto 2003	15.07
setembro 2003	15.14
outubro 2003	13.98
novembro 2003	11.02
dezembro 2003	9.30
janeiro 2004	7.71
fevereiro 2004	6.69
março 2004	5.89
abril 2004	5.26
maio 2004	5.15
junho 2004	6.06
julho 2004	6.81
agosto 2004	7.18
setembro 2004	6.70
outubro 2004	6.86
novembro 2004	7.24
dezembro 2004	7.60
janeiro 2005	7.41
fevereiro 2005	7.39
março 2005	7.54
abril 2005	8.07
maio 2005	8.05
junho 2005	7.27
julho 2005	6.57
agosto 2005	6.02
setembro 2005	6.04
outubro 2005	6.36
novembro 2005	6.22
dezembro 2005	5.69
janeiro 2006	5.70
fevereiro 2006	5.51
março 2006	5.32
abril 2006	4.63
maio 2006	4.23
junho 2006	4.03
julho 2006	3.97
agosto 2006	3.84
setembro 2006	3.70
outubro 2006	3.26
novembro 2006	3.02
dezembro 2006	3.14
janeiro 2007	2.99
fevereiro 2007	3.02
março 2007	2.96
abril 2007	3.00
maio 2007	3.18
junho 2007	3.69
julho 2007	3.74
agosto 2007	4.18
setembro 2007	4.15
outubro 2007	4.12
novembro 2007	4.19
dezembro 2007	4.46
janeiro 2008	4.56
fevereiro 2008	4.61
março 2008	4.73
abril 2008	5.04
maio 2008	5.58
junho 2008	6.06
julho 2008	6.37
agosto 2008	6.17
setembro 2008	6.25
outubro 2008	6.41
novembro 2008	6.39
dezembro 2008	5.90
janeiro 2009	5.84
fevereiro 2009	5.90
março 2009	5.61
abril 2009	5.53
maio 2009	5.20
junho 2009	4.80
julho 2009	4.50
agosto 2009	4.36
setembro 2009	4.34
outubro 2009	4.17
novembro 2009	4.22
dezembro 2009	4.31
janeiro 2010	4.59
fevereiro 2010	4.83
março 2010	5.17
abril 2010	5.26
maio 2010	5.22
junho 2010	4.84
julho 2010	4.60
agosto 2010	4.49
setembro 2010	4.70
outubro 2010	5.20
novembro 2010	5.63
dezembro 2010	5.91
janeiro 2011	5.99
fevereiro 2011	6.01
março 2011	6.30
abril 2011	6.51
maio 2011	6.55
junho 2011	6.71
julho 2011	6.87
agosto 2011	7.23
setembro 2011	7.31
outubro 2011	6.97
novembro 2011	6.64
dezembro 2011	6.50
janeiro 2012	6.22
fevereiro 2012	5.84
março 2012	5.24
abril 2012	5.10
maio 2012	4.99
junho 2012	4.92
julho 2012	5.20
agosto 2012	5.24
setembro 2012	5.28
outubro 2012	5.45
novembro 2012	5.53
dezembro 2012	5.84
janeiro 2013	6.15
fevereiro 2013	6.31
março 2013	6.59
abril 2013	6.49
maio 2013	6.50
junho 2013	6.70
julho 2013	6.27
agosto 2013	6.09
setembro 2013	5.86
outubro 2013	5.84
novembro 2013	5.77
dezembro 2013	5.91
janeiro 2014	5.59
fevereiro 2014	5.68
março 2014	6.15
abril 2014	6.28
maio 2014	6.37
junho 2014	6.52
julho 2014	6.50
agosto 2014	6.51
setembro 2014	6.75
outubro 2014	6.59
novembro 2014	6.56
dezembro 2014	6.41
janeiro 2015	7.14
fevereiro 2015	7.70
março 2015	8.13
abril 2015	8.17
maio 2015	8.47
junho 2015	8.89
julho 2015	9.56
agosto 2015	9.53
setembro 2015	9.49
outubro 2015	9.93
novembro 2015	10.48
dezembro 2015	10.67
janeiro 2016	10.71
fevereiro 2016	10.36
março 2016	9.39
abril 2016	9.28
maio 2016	9.32
junho 2016	8.84
julho 2016	8.74
agosto 2016	8.97
setembro 2016	8.48
outubro 2016	7.87
novembro 2016	6.99
dezembro 2016	6.29
janeiro 2017	5.35
fevereiro 2017	4.76
março 2017	4.57
abril 2017	4.08
maio 2017	3.60
junho 2017	3.00
julho 2017	2.71
agosto 2017	2.46
setembro 2017	2.54
outubro 2017	2.70
novembro 2017	2.80
dezembro 2017	2.95
janeiro 2018	2.86
fevereiro 2018	2.84
março 2018	2.68
abril 2018	2.76
maio 2018	2.86
junho 2018	4.39
julho 2018	4.48
agosto 2018	4.19
setembro 2018	4.53
outubro 2018	4.56
novembro 2018	4.05
dezembro 2018	3.75
janeiro 2019	3.78
fevereiro 2019	3.89
março 2019	4.58
abril 2019	4.94
maio 2019	4.66
junho 2019	3.37
julho 2019	3.22
agosto 2019	3.43
setembro 2019	2.89
outubro 2019	2.54
novembro 2019	3.27
dezembro 2019	4.31
janeiro 2020	4.19
fevereiro 2020	4.01
março 2020	3.30
abril 2020	2.40
maio 2020	1.88
junho 2020	2.13
julho 2020	2.31
agosto 2020	2.44
setembro 2020	3.14
outubro 2020	3.92
novembro 2020	4.31
dezembro 2020	4.52
janeiro 2021	4.56
fevereiro 2021	5.20
março 2021	6.10
abril 2021	6.76
maio 2021	8.06
junho 2021	8.35
julho 2021	8.99
Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo

Notas
1 - Período de coleta ajustado ao mês civil (do primeiro ao trigésimo dia de cada mês), para os meses anteriores a março de 1986.

Legenda
Símbolo	Significado
-	Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução.
0	Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas.
X	Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido.
..	Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas.
...	Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa.
A a Z
(exceto X)	Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)
